Service_Request_Type,Police_Precinct,Method_Received,Status,Year,Month,Request_Count
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2024,9,2128
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2023,8,2057
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2024,9,1995
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2024,8,1995
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2024,7,1977
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2024,7,1884
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2023,8,1814
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2024,4,1780
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2024,10,1772
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2024,10,1770
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2024,6,1755
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2025,1,1753
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2022,8,1744
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2023,5,1740
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2023,9,1738
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2024,8,1718
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2024,6,1695
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2024,3,1687
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2023,6,1672
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2024,5,1671
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2023,6,1663
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2022,9,1657
Unauthorized Encampment,NORTH,Find It Fix It Apps,Closed,2023,7,1657
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2025,3,1601
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2023,7,1590
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2024,11,1586
Abandoned Vehicle/72hr Parking Ordinance,NORTH,Find It Fix It Apps,Closed,2024,12,1566
