Neighborhood,Number_of_Requests
BROADWAY,63236
WEST WOODLAND,34784
GREENWOOD,29555
UNIVERSITY DISTRICT,28208
WALLINGFORD,26697
NORTH BEACON HILL,26600
BELLTOWN,25732
INDUSTRIAL DISTRICT,24559
FREMONT,23917
ADAMS,23104
LOWER QUEEN ANNE,21411
ATLANTIC,20717
MINOR,19645
STEVENS,19273
GREEN LAKE,19076
SOUTH LAKE UNION,18298
COLUMBIA CITY,18100
FIRST HILL,17675
CENTRAL BUSINESS DISTRICT,16663
GEORGETOWN,16139
ROOSEVELT,16101
MID-BEACON HILL,15162
NORTH ADMIRAL,14931
HALLER LAKE,14827
EAST QUEEN ANNE,14770
PHINNEY RIDGE,13636
MOUNT BAKER,13302
BITTER LAKE,13187
RAVENNA,12923
PIONEER SQUARE,12877
NORTH QUEEN ANNE,12533
INTERNATIONAL DISTRICT,12357
HIGHLAND PARK,11983
NORTH COLLEGE PARK,11945
WEST QUEEN ANNE,11720
ALKI,11390
NORTH DELRIDGE,11221
MAPLE LEAF,11212
OLYMPIC HILLS,10557
LAWTON PARK,10181
DUNLAP,9412
PINEHURST,9370
MANN,9076
SOUTH PARK,8905
VICTORY HEIGHTS,8903
SOUTH DELRIDGE,8728
RAINIER BEACH,8629
INTERBAY,8629
SUNSET HILL,8432
CEDAR PARK,8371
LESCHI,8332
EASTLAKE,8218
BRIGHTON,8138
RIVERVIEW,7977
ROXHILL,7822
GENESEE,7564
HIGH POINT,7475
FAIRMOUNT PARK,7347
LOYAL HEIGHTS,7041
MONTLAKE,6842
WHITTIER HEIGHTS,6730
SOUTH BEACON HILL,6445
SEWARD PARK,6376
YESLER TERRACE,6348
FAUNTLEROY,6098
CROWN HILL,6091
SAND POINT,5806
PIKE-MARKET,5683
MADRONA,5496
MATTHEWS BEACH,5413
BROADVIEW,5043
WEDGWOOD,4958
SOUTHEAST MAGNOLIA,4365
GATEWOOD,4192
HOLLY PARK,3977
MEADOWBROOK,3969
BRIARCLIFF,3957
BRYANT,3663
WESTLAKE,3606
HARRISON/DENNY-BLAINE,3505
PORTAGE BAY,3466
NORTH BEACH/BLUE RIDGE,3308
VIEW RIDGE,3294
LAURELHURST,3107
SEAVIEW,2861
MADISON PARK,2529
WINDERMERE,2253
ARBOR HEIGHTS,2243
RAINIER VIEW,2086
HARBOR ISLAND,647
OOO,13
