Hour,Service_Request_Type,Number_of_Requests
0,Abandoned Vehicle/72hr Parking Ordinance,690
0,ADA Request (Transportation),4
0,Animal Noise,36
0,Bicycle Facility Maintenance,8
0,Business Related Complaint,6
0,Business Violation of Public Health Requirements,2
0,Clogged Storm Drain,45
0,Damaged Sidewalk,18
0,Dead Animal,30
0,Feedback about the Customer Service Requests Portal,1
0,"Feedback about the Find It, Fix It mobile app",1
0,Found a Pet,13
0,General Inquiry - Animal Shelter,30
0,General Inquiry - City Light,136
0,General Inquiry - Customer Service Bureau,379
0,General Inquiry - Police Department,95
0,General Inquiry - Public Utilities,28
0,General Inquiry - Transportation,73
0,Graffiti,430
0,Illegal Dumping / Needles,391
0,Internet/Cable Issue,13
0,Lost a Pet,13
0,Nightlife Noise Complaint,334
0,Nuisance dogs in a park,2
0,Overgrown Vegetation,105
0,Parking Enforcement,686
0,Parks and Recreation Maintenance,122
0,Pollution Report Form,1
0,Pothole,285
0,Public Garage or Parking Lot Complaint,4
0,Public Litter and Recycling Cans,20
0,Safe Routes to School,1
0,Scooter or Bike Share Issue,58
0,Seattle Center,13
0,Snow and Ice,2
0,Street Sign and Traffic Signal Maintenance,92
0,Street Sign Maintenance,55
0,Streetlight Maintenance,225
0,"Taxi, TNC, or Limousine Complaint or Compliment",21
0,Towing Complaint - Public Impound,3
0,Towing Impound Complaint,10
0,Traffic Calming,2
0,Traffic Signal Maintenance,57
0,Unauthorized Encampment,636
0,Wireless or Small Cell Issue,1
1,Abandoned Vehicle/72hr Parking Ordinance,437
1,ADA Request (Transportation),3
1,Animal Noise,21
1,Bicycle Facility Maintenance,2
1,Business Related Complaint,6
1,Business Violation of Public Health Requirements,1
1,Clogged Storm Drain,33
1,Damaged Sidewalk,9
1,Dead Animal,8
1,Feedback about the Customer Service Requests Portal,2
1,"Feedback about the Find It, Fix It mobile app",1
1,Found a Pet,4
1,General Inquiry - Animal Shelter,13
1,General Inquiry - City Light,79
1,General Inquiry - Customer Service Bureau,270
1,General Inquiry - Police Department,79
1,General Inquiry - Public Utilities,31
1,General Inquiry - Transportation,30
1,Graffiti,317
1,Illegal Dumping / Needles,284
1,Internet/Cable Issue,2
1,Lost a Pet,16
1,Nightlife Noise Complaint,184
1,Nuisance dogs in a park,3
1,Overgrown Vegetation,46
1,Parking Enforcement,356
1,Parks and Recreation Maintenance,46
1,Pothole,153
1,Public Garage or Parking Lot Complaint,2
1,Public Litter and Recycling Cans,19
1,Scooter or Bike Share Issue,37
1,Seattle Center,5
1,Street Sign and Traffic Signal Maintenance,45
1,Street Sign Maintenance,32
1,Streetlight Maintenance,102
1,"Taxi, TNC, or Limousine Complaint or Compliment",7
1,Towing Complaint - Public Impound,1
1,Towing Impound Complaint,1
1,Traffic Signal Maintenance,29
1,Unauthorized Encampment,331
1,Wireless or Small Cell Issue,1
2,Abandoned Vehicle/72hr Parking Ordinance,280
2,ADA Request (Transportation),1
2,Animal Noise,25
2,Business Related Complaint,4
2,Business Violation of Public Health Requirements,2
2,Clogged Storm Drain,15
2,Damaged Sidewalk,6
2,Dead Animal,16
2,Found a Pet,6
2,General Inquiry - Animal Shelter,8
2,General Inquiry - City Light,54
2,General Inquiry - Customer Service Bureau,149
2,General Inquiry - Police Department,68
2,General Inquiry - Public Utilities,7
2,General Inquiry - Transportation,14
2,Graffiti,282
2,Illegal Dumping / Needles,177
2,Lost a Pet,5
2,Nightlife Noise Complaint,86
2,Overgrown Vegetation,34
2,Parking Enforcement,229
2,Parks and Recreation Maintenance,25
2,Pothole,90
2,Public Garage or Parking Lot Complaint,3
2,Public Litter and Recycling Cans,10
2,Public Utilities Direct Mail Opt Out,1
2,Scooter or Bike Share Issue,13
2,Seattle Center,5
2,Street Sign and Traffic Signal Maintenance,32
2,Street Sign Maintenance,20
2,Streetlight Maintenance,87
2,"Taxi, TNC, or Limousine Complaint or Compliment",4
2,Towing Complaint - Public Impound,3
2,Towing Impound Complaint,2
2,Traffic Calming,1
2,Traffic Signal Maintenance,13
2,Unauthorized Encampment,252
2,Wireless or Small Cell Issue,1
3,Abandoned Vehicle/72hr Parking Ordinance,216
3,ADA Request (Transportation),5
3,Animal Noise,12
3,Bicycle Facility Maintenance,1
3,Business Related Complaint,3
3,Clogged Storm Drain,11
3,Damaged Sidewalk,2
3,Dead Animal,9
3,"Feedback about the Find It, Fix It mobile app",2
3,Found a Pet,4
3,General Inquiry - Animal Shelter,5
3,General Inquiry - City Light,63
3,General Inquiry - Customer Service Bureau,111
3,General Inquiry - Police Department,51
3,General Inquiry - Public Utilities,19
3,General Inquiry - Transportation,14
3,Graffiti,270
3,Illegal Dumping / Needles,140
3,Internet/Cable Issue,3
3,Lost a Pet,6
3,Nightlife Noise Complaint,57
3,Overgrown Vegetation,14
3,Parking Enforcement,165
3,Parks and Recreation Maintenance,16
3,Pollution Report Form,1
3,Pothole,51
3,Public Garage or Parking Lot Complaint,1
3,Public Litter and Recycling Cans,11
3,Scooter or Bike Share Issue,9
3,Seattle Center,2
3,Snow and Ice,1
3,Street Sign and Traffic Signal Maintenance,24
3,Street Sign Maintenance,12
3,Streetlight Maintenance,59
3,"Taxi, TNC, or Limousine Complaint or Compliment",2
3,Towing Complaint - Public Impound,2
3,Towing Impound Complaint,5
3,Traffic Signal Maintenance,11
3,Unauthorized Encampment,175
4,Abandoned Vehicle/72hr Parking Ordinance,236
4,ADA Request (Transportation),1
4,Animal Noise,13
4,Bicycle Facility Maintenance,3
4,Business Related Complaint,2
4,Clogged Storm Drain,20
4,Damaged Sidewalk,6
4,Dead Animal,6
4,"Feedback about the Find It, Fix It mobile app",2
4,Found a Pet,4
4,General Inquiry - Animal Shelter,5
4,General Inquiry - City Light,77
4,General Inquiry - Customer Service Bureau,178
4,General Inquiry - Police Department,48
4,General Inquiry - Public Utilities,18
4,General Inquiry - Transportation,22
4,Graffiti,243
4,Illegal Dumping / Needles,174
4,Internet/Cable Issue,4
4,Lost a Pet,13
4,Nightlife Noise Complaint,29
4,Nuisance dogs in a park,3
4,Overgrown Vegetation,44
4,Parking Enforcement,338
4,Parks and Recreation Maintenance,40
4,Pollution Report Form,1
4,Pothole,87
4,Public Garage or Parking Lot Complaint,1
4,Public Litter and Recycling Cans,11
4,Scooter or Bike Share Issue,29
4,Seattle Center,4
4,Snow and Ice,2
4,Street Sign and Traffic Signal Maintenance,41
4,Street Sign Maintenance,13
4,Streetlight Maintenance,76
4,"Taxi, TNC, or Limousine Complaint or Compliment",4
4,Towing Complaint - Public Impound,5
4,Towing Impound Complaint,3
4,Traffic Signal Maintenance,21
4,Unauthorized Encampment,269
4,Wireless or Small Cell Issue,1
5,Abandoned Vehicle/72hr Parking Ordinance,984
5,Animal Noise,24
5,Bicycle Facility Maintenance,1
5,Business Related Complaint,6
5,Business Violation of Public Health Requirements,2
5,Clogged Storm Drain,49
5,Damaged Sidewalk,6
5,Dead Animal,25
5,Feedback about the Customer Service Requests Portal,2
5,"Feedback about the Find It, Fix It mobile app",3
5,Found a Pet,2
5,General Inquiry - Animal Shelter,12
5,General Inquiry - City Light,166
5,General Inquiry - Customer Service Bureau,570
